Inactive,Internal ID,ID,External ID,Name,Duplicate,Parent Vendor,Primary Parent vendor,Vendor Status,Vendor Type,Phone,Email,Fax,Alt. Contact,Office Phone,Billing Address,Shipping Address,Web Address,Comments,Login Access,Account,Terms
No,56817,99014,,Taylar / FH 127467,,No,"99101 Taylar Energy, LLC - EFT",Approved,Local,(281) 979-4177,melissa@taylarenergy.com,,,,"Taylar / FH 127467
PO Box 71
San Angelo TX 76902
United States","Taylar / FH 127467
PO Box 71
San Angelo TX 76902
United States",,,No,,Net 10 - EFT
No,56816,99015,,Taylar / FH 127465,,No,"99101 Taylar Energy, LLC - EFT",Approved,Local,(281) 979-4177,melissa@taylarenergy.com,,,,"Taylar / FH 127465
PO Box 71
San Angelo TX 76902
United States","Taylar / FH 127465
PO Box 71
San Angelo TX 76902
United States",,,No,,Net 10 - EFT
No,56832,99016,,Wallis / Exxon 559163015,,No,"99980 Wallis Oil Co, Inc",Approved,Local,(573) 885-2277,Jalbin@mail.wallisco.com,,,,"Wallis / Exxon 559163015
106 E Washington
Cuba MO 65453
United States","Wallis / Exxon 559163015
106 E Washington
Cuba MO 65453
United States",,,No,,Net 10 - EFT
No,56808,99017,,Mans / Val 371-120032-583574,,No,99030 Mansfield Oil Co - EFT,Approved,Local,(678) 450-2000,ashjones@mansfieldoil.com,,,,"Mans / Val 371-120032-583574
PO Box 733706
Dallas TX 75373-3706
United States","Mans / Val 371-120032-583574
PO Box 733706
Dallas TX 75373-3706
United States",,,No,,Net 30 - EFT
No,56818,99018,,Taylar / FH 211-127468,,No,"99101 Taylar Energy, LLC - EFT",Approved,Local,(281) 979-4177,melissa@taylarenergy.com,,,,"Taylar / FH 211-127468
PO Box 71
San Angelo TX 76902
United States","Taylar / FH 211-127468
PO Box 71
San Angelo TX 76902
United States",,,No,,Net 10 - EFT
No,56814,99019,,Tartan / Jaguar 246111116,,No,"99960 Tartan Oil, LLC",Approved,Local,(865) 474-2889,rack.inquiries@tartanoil.com,,,,"Tartan / Jaguar 246111116
PO Box 10146
Knoxville TN 37939-0146
United States","Tartan / Jaguar 246111116
PO Box 10146
Knoxville TN 37939-0146
United States",,,No,,Net 10 - EFT
No,56659,99020,,Kendrick Oil Co,,Yes,,Approved,Local,(806) 250-3991,lkinney@kendrickoil.com,,,,"Kendrick Oil Co
PO Box 788
Friona TX 79035
United States","Kendrick Oil Co
PO Box 788
Friona TX 79035
United States",,,No,,Net 10 - EFT
No,56815,99021,,Tartan / Jaguar 45-111116,,No,"99101 Taylar Energy, LLC - EFT",Approved,Local,(865) 474-2889,rack.inquiries@tartanoil.com,,,,"Tartan / Jaguar 45-111116
PO Box 10146
Knoxville TN 37939-0146
United States","Tartan / Jaguar 45-111116
PO Box 10146
Knoxville TN 37939-0146
United States",,,No,,Net 10 - EFT
No,56810,99022,,Musket / Jag 339-263302-195,,No,99940 Musket Corporation,Approved,Local,(713) 332-5726,carriersupport@loves.com,,,,"Musket / Jag 339-263302-195
PO Box 26210
Oklahoma City OK 73126
United States","Musket / Jag 339-263302-195
PO Box 26210
Oklahoma City OK 73126
United States",,,No,,Net 10 - EFT
No,56811,99023,,Musket / Jaguar 339-263302,,No,99940 Musket Corporation,Approved,Local,(713) 332-5726,carriersupport@loves.com,,,,"Musket / Jaguar 339-263302
PO Box 26210
Oklahoma City OK 73126
United States","Musket / Jaguar 339-263302
PO Box 26210
Oklahoma City OK 73126
United States",,,No,,Net 10 - EFT
No,56793,99024,,FM - Fuel Masters,,No,"99000 Fuel Masters, LLC",Approved,Local,(325) 676-3835,roxanne.roe@fuelmasters.com,,,,"FM - Fuel Masters
133 Caddo Dr
Abilene TX 79602
United States","FM - Fuel Masters
133 Caddo Dr
Abilene TX 79602
United States",,,No,,Net 10 - EFT
No,56835,99025,,Wallis / Motiva 20016203,,No,"99070 Wallis Oil Co, Inc",Approved,Local,(573) 885-2277,Jalbin@mail.wallisco.com,,,,"Wallis / Motiva 20016203
106 E Washington
Cuba MO 65453
United States","Wallis / Motiva 20016203
106 E Washington
Cuba MO 65453
United States",,,No,,Net 10 - EFT
No,56813,99026,,Taylar / Gresham 97-1290481786,,No,"99101 Taylar Energy, LLC - EFT",Pending,,(281) 979-4177,melissa@taylarenergy.com,,,,"NGL / Valero 164-577520
6120 S Yale Ave
Tulsa OK 74136
United States","NGL / Valero 164-577520
6120 S Yale Ave
Tulsa OK 74136
United States",,,No,,Net 10 - EFT
No,56828,99027,,US Energy 0438,,No,99970 US Oil Division of US Venture,Approved,Local,(800) 876-4526,imiller@usoil.com,,,,"US Energy 0438
425 Better Way
Appleton WI 54915
United States","US Energy 0438
425 Better Way
Appleton WI 54915
United States",,,No,,Net 10 - EFT
No,56829,99028,,US Venture / Jaguar 0439,,No,99970 US Oil Division of US Venture,Approved,Local,(800) 876-4526,imiller@usoil.com,,,,"US Venture / Jaguar 0439
425 Better Way
Appleton WI 54915
United States","US Venture / Jaguar 0439
425 Better Way
Appleton WI 54915
United States",,,No,,Net 10 - EFT
No,56913,99029,,"NGL Crude Logistics, LLC",,No,"99950 NGL Crude Logistics, LLC",Approved,Local,,,,,,,,,,No,,
No,3095,99030,99030,Mansfield Oil Co - EFT,,Yes,,Approved,Local,678-207-3131,ashjones@mansfieldoil.com,,,,"99030
PO  Box 733706
Dallas TX 75373
United States","99030
PO  Box 733706
Dallas TX 75373
United States",,,No,,Net 30 - EFT
No,56779,99031,,FM / Motiva 229-403595-51,,No,"99000 Fuel Masters, LLC",Approved,Local,(325) 676-3835,roxanne.roe@fuelmasters.com,,,,"FM / Motiva 229-403595-51
133 Caddo Dr
Abilene TX 79602
United States","FM / Motiva 229-403595-51
133 Caddo Dr
Abilene TX 79602
United States",,,No,,Net 10 - EFT
No,56775,99032,,FM / Exxon 500-514041-195,,No,"99000 Fuel Masters, LLC",Approved,Local,(325) 676-3835,roxanne.roe@fuelmasters.com,,,,"FM / Exxon 500-514041-195
133 Caddo Dr
Abilene TX 79602
United States","FM / Exxon 500-514041-195
133 Caddo Dr
Abilene TX 79602
United States",,,No,,Net 10 - EFT
No,56679,99033,,FM / Atlas 277-046099-195,,No,"99000 Fuel Masters, LLC",Approved,Local,(325) 676-3835,roxanne.roe@fuelmasters.com,,,,"FM / Atlas 277-046099-195
133 Caddo Dr
Abilene TX 79602
United States","FM / Atlas 277-046099-195
133 Caddo Dr
Abilene TX 79602
United States",,,No,,Net 10 - EFT
No,56678,99034,,FM / Delek 230-38512-1555,,No,"99000 Fuel Masters, LLC",Approved,Local,(325) 676-3835,roxanne.roe@fuelmasters.com,,,,"FM / Delek 230-38512-1555
133 Caddo Dr
Abilene TX 79602
United States","FM / Delek 230-38512-1555
133 Caddo Dr
Abilene TX 79602
United States",,,No,,Net 10 - EFT
No,56776,99035,,FM / FH 211-759760-195,,No,"99000 Fuel Masters, LLC",Approved,Local,(325) 676-3835,roxanne.roe@fuelmasters.com,,,,"FM / FH 211-759760-195
133 Caddo Dr
Abilene TX 79602
United States","FM / FH 211-759760-195
133 Caddo Dr
Abilene TX 79602
United States",,,No,,Net 10 - EFT
No,56782,99036,,FM / Shell 490-403594-195,,No,"99000 Fuel Masters, LLC",Approved,Local,(325) 676-3835,roxanne.roe@fuelmasters.com,,,,"FM / Shell 490-403594-195
133 Caddo Dr
Abilene TX 79602
United States","FM / Shell 490-403594-195
133 Caddo Dr
Abilene TX 79602
United States",,,No,,Net 10 - EFT
No,56785,99037,,FM / Tartan 246-111295-195,,No,"99000 Fuel Masters, LLC",Approved,Local,(325) 676-3835,roxanne.roe@fuelmasters.com,,,,"FM / Tartan 246-111295-195
133 Caddo Dr
Abilene TX 79602
United States","FM / Tartan 246-111295-195
133 Caddo Dr
Abilene TX 79602
United States",,,No,,Net 10 - EFT
No,56789,99038,,FM / Wal Ex 500-550439-195,,No,"99000 Fuel Masters, LLC",Approved,Local,(325) 676-3835,roxanne.roe@fuelmasters.com,,,,"FM / Wal Ex 500-550439-195
133 Caddo Dr
Abilene TX 79602
United States","FM / Wal Ex 500-550439-195
133 Caddo Dr
Abilene TX 79602
United States",,,No,,Net 10 - EFT
No,56780,99039,,FM / Musket 339-046602-055,,No,"99000 Fuel Masters, LLC",Approved,Local,(325) 676-3835,roxanne.roe@fuelmasters.com,,,,"FM / Musket 339-046602-055
133 Caddo Dr
Abilene TX 79602
United States","FM / Musket 339-046602-055
133 Caddo Dr
Abilene TX 79602
United States",,,No,,Net 10 - EFT
No,56787,99040,,FM / Valero 164-244296-195,,No,"99000 Fuel Masters, LLC",Approved,Local,(325) 676-3835,roxanne.roe@fuelmasters.com,,,,"FM / Valero 164-244296-195
133 Caddo Dr
Abilene TX 79602
United States","FM / Valero 164-244296-195
133 Caddo Dr
Abilene TX 79602
United States",,,No,,Net 10 - EFT
No,56786,99041,,FM / US Oil 591-241422-195,,No,"99000 Fuel Masters, LLC",Approved,Local,(325) 676-3835,roxanne.roe@fuelmasters.com,,,,"FM / US Oil 591-241422-195
133 Caddo Dr
Abilene TX 79602
United States","FM / US Oil 591-241422-195
133 Caddo Dr
Abilene TX 79602
United States",,,No,,Net 10 - EFT
No,56791,99042,,FM / Sinclair 197-58359-920579,,No,"99000 Fuel Masters, LLC",Approved,Local,(325) 676-3835,roxanne.roe@fuelmasters.com,,,,"FM / Sinclair 197-58359-920579
133 Caddo Dr
Abilene TX 79602
United States","FM / Sinclair 197-58359-920579
133 Caddo Dr
Abilene TX 79602
United States",,,No,,Net 10 - EFT
No,56798,99043,,Ken / FH 211-759550-934428,,No,99020 Kendrick Oil Co,Approved,Local,(806) 250-3991,lkinney@kendrickoil.com,,,,"Ken / FH 211-759550-934428
PO Box 788
Friona TX 79035
United States","Ken / FH 211-759550-934428
PO Box 788
Friona TX 79035
United States",,,No,,Net 10 - EFT
No,56803,99044,,Kendrick / NGL 407-20448,,No,99020 Kendrick Oil Co,Approved,Local,(806) 250-3991,lkinney@kendrickoil.com,,,,"Kendrick / NGL 407-20448
PO Box 788
Friona TX 79035
United States","Kendrick / NGL 407-20448
PO Box 788
Friona TX 79035
United States",,,No,,Net 10 - EFT
No,56799,99045,,Ken / North NIC 695-110048,,No,99020 Kendrick Oil Co,Approved,Local,(806) 250-3991,lkinney@kendrickoil.com,,,,"Ken / North NIC 695-110048
PO Box 788
Friona TX 79035
United States","Ken / North NIC 695-110048
PO Box 788
Friona TX 79035
United States",,,No,,Net 10 - EFT
No,56800,99046,,Ken / Saratoga 714-318503-466,,No,99020 Kendrick Oil Co,Approved,Local,(806) 250-3991,lkinney@kendrickoil.com,,,,"Ken / Saratoga 714-318503-466
PO Box 788
Friona TX 79035
United States","Ken / Saratoga 714-318503-466
PO Box 788
Friona TX 79035
United States",,,No,,Net 10 - EFT
No,56804,99047,,Kendrick / US Oil 591-376659,,No,99020 Kendrick Oil Co,Approved,Local,(806) 250-3991,lkinney@kendrickoil.com,,,,"Kendrick / US Oil 591-376659
PO Box 788
Friona TX 79035
United States","Kendrick / US Oil 591-376659
PO Box 788
Friona TX 79035
United States",,,No,,Net 10 - EFT
No,56802,99048,,Ken / Val unbrand 164-240332-79,,No,99020 Kendrick Oil Co,Approved,Local,(806) 250-3991,lkinney@kendrickoil.com,,,,"Ken / Val unbrand 164-240332-79
PO Box 788
Friona TX 79035
United States","Ken / Val unbrand 164-240332-79
PO Box 788
Friona TX 79035
United States",,,No,,Net 10 - EFT
No,56801,99049,,Ken / Valero Unbr 554961,,No,99020 Kendrick Oil Co,Approved,Local,(806) 250-3991,lkinney@kendrickoil.com,,,,"Ken / Valero Unbr 554961
PO Box 788
Friona TX 79035
United States","Ken / Valero Unbr 554961
PO Box 788
Friona TX 79035
United States",,,No,,Net 10 - EFT
No,56797,99050,,Ken / Vector 483-211430-79,,No,99020 Kendrick Oil Co,Pending,,(806) 250-3991,lkinney@kendrickoil.com,,,,"Ken / Vector 483-211430-79
PO Box 788
Friona TX 79035
United States","Ken / Vector 483-211430-79
PO Box 788
Friona TX 79035
United States",,,No,,Net 10 - EFT
No,56805,99051,,Kendrick / Vitol 70-837048,,No,99020 Kendrick Oil Co,Approved,,(806) 250-3991,lkinney@kendrickoil.com,,,,"Kendrick / Vitol 70-837048
PO Box 788
Friona TX 79035
United States","Kendrick / Vitol 70-837048
PO Box 788
Friona TX 79035
United States",,,No,,Net 10 - EFT
No,56667,99052,,Marathon Petroleum Company,,Yes,,Approved,Local,(210) 626-6444,tmhull@marathonpetroleum.com,,,,"Marathon Petroleum Company
539 S Main St
Findlay OH 45840
United States","Marathon Petroleum Company
539 S Main St
Findlay OH 45840
United States",,,No,,Net 10 - EFT
No,64675,99053,,Targray / jaguar - 868029570,,No,99120 Targray Energy Inc,Approved,,,,,,,,,,,No,,
No,56819,99054,,Taylar - FM 325111116,,No,"99101 Taylar Energy, LLC - EFT",Approved,Local,(281) 979-4177,melissa@taylarenergy.com,,,,"Taylar - FM 325111116
PO Box 71
San Angelo TX 76902
United States","Taylar - FM 325111116
PO Box 71
San Angelo TX 76902
United States",,,No,,Net 10 - EFT
No,56824,99055,,Taylar / Gresham 097-129048,,No,"99101 Taylar Energy, LLC - EFT",Approved,Local,(281) 979-4177,melissa@taylarenergy.com,,,,"Taylar / Gresham 097-129048
PO Box 71
San Angelo TX 76902
United States","Taylar / Gresham 097-129048
PO Box 71
San Angelo TX 76902
United States",,,No,,Net 10 - EFT
No,56825,99056,,Taylar / Gresham 097-129035,,No,"99101 Taylar Energy, LLC - EFT",Approved,Local,(281) 979-4177,melissa@taylarenergy.com,,,,"Taylar / Gresham 097-129035
PO Box 71
San Angelo TX 76902
United States","Taylar / Gresham 097-129035
PO Box 71
San Angelo TX 76902
United States",,,No,,Net 10 - EFT
No,56820,99057,99057,Taylar / Jaguar 087-748619,,No,"99101 Taylar Energy, LLC - EFT",Approved,Local,(281) 979-4177,melissa@taylarenergy.com,,,,"Taylar / Jaguar 087-748619
PO Box 71
San Angelo TX 76902
United States","Taylar / Jaguar 087-748619
PO Box 71
San Angelo TX 76902
United States",,,No,,Net 10 - EFT
No,56821,99058,,Taylar / Kent 494-199985,,No,"99101 Taylar Energy, LLC - EFT",Approved,Local,(281) 979-4177,melissa@taylarenergy.com,,,,"Taylar / Kent 494-199985
PO Box 71
San Angelo TX 76902
United States","Taylar / Kent 494-199985
PO Box 71
San Angelo TX 76902
United States",,,No,,Net 10 - EFT
No,56822,99059,,Taylar / Pro Petro 246-140538,,No,"99101 Taylar Energy, LLC - EFT",Approved,Local,(281) 979-4177,melissa@taylarenergy.com,,,,"Taylar / Pro Petro 246-140538
PO Box 71
San Angelo TX 76902
United States","Taylar / Pro Petro 246-140538
PO Box 71
San Angelo TX 76902
United States",,,No,,Net 10 - EFT
No,56826,99060,,Taylar / US OilTX  591-488597,,No,"99101 Taylar Energy, LLC - EFT",Approved,Local,(281) 979-4177,melissa@taylarenergy.com,,,,"Taylar / US OilTX  591-488597
PO Box 71
San Angelo TX 76902
United States","Taylar / US OilTX  591-488597
PO Box 71
San Angelo TX 76902
United States",,,No,,Net 10 - EFT
No,56827,99061,,Taylar / US Oil NM 591-488598,,No,"99101 Taylar Energy, LLC - EFT",Approved,Local,(281) 979-4177,melissa@taylarenergy.com,,,,"Taylar / US Oil NM 591-488598
PO Box 71
San Angelo TX 76902
United States","Taylar / US Oil NM 591-488598
PO Box 71
San Angelo TX 76902
United States",,,No,,Net 10 - EFT
No,56823,99062,,Taylar / Vector 483-290430,,No,"99101 Taylar Energy, LLC - EFT",Approved,Local,(281) 979-4177,melissa@taylarenergy.com,,,,"Taylar / Vector 483-290430
PO Box 71
San Angelo TX 76902
United States","Taylar / Vector 483-290430
PO Box 71
San Angelo TX 76902
United States",,,No,,Net 10 - EFT
No,56839,99063,,NGL / XOM 498381,,No,"99950 NGL Crude Logistics, LLC",Approved,Local,(918) 495-4615,rpmaccounting@nglep.com,,,,"NGL / XOM 498381
6120 S Yale Ave
Tulsa OK 74136
United States","NGL / XOM 498381
6120 S Yale Ave
Tulsa OK 74136
United States",,,No,,Net 10 - EFT
No,56836,99064,,Wallis / Valero 164-579632,,No,"99070 Wallis Oil Co, Inc",Approved,Local,(573) 885-2277,Jalbin@mail.wallisco.com,,,,"Wallis / Valero 164-579632
106 E Washington
Cuba MO 65453
United States","Wallis / Valero 164-579632
106 E Washington
Cuba MO 65453
United States",,,No,,Net 10 - EFT
