Customer ID,Customer Name,Company Name,DBA Name,Credit Insurance Amount
"47991","11855","Firetrol Protection Systems Inc","","20000"
"47994","12106","Fisk Electric Company","","150000"
"47996","10562","Flowco Production Services","","100000"
"47998","10566","Food Lion LLC","","100000"
"47999","12442","Force Energy Services, LLC 32079060250","","30000"
"48001","12357","Forza Logistics and Management, LLC","","30000"
"48002","10570","Foundation Building Materials","","25000"
"48004","10572","Foxworth-Galbraith Lumber Co.","","12500"
"48005","12405","Frac String Manufacturing, LLC","","12500"
"48006","10582","Frito-Lay Sales, LP","","150000"
"48007","12817","Frontier Tank Lines, Inc.","","25000"
"48008","11931","FT Machine LLC","","30000"
"48009","12669","Fuel Pro LLC","","50000"
"48010","12463","Fulcrum Construction Tx, LLC","","60000"
"48011","12550","Gallant Commercial LLC","","25000"
"48012","10596","Gallery Furniture","","150000"
"48013","12063","Gamble Fuel Service","","45000"
"48014","12036","Gamma Construction Company","","60000"
"48015","10598","Gant Industries Inc","","25000"
"48017","10606","Gator Junction","","25000"
"48019","12199","General Body Mfg Co.","","30000"
"48020","11981","GenSolutions LLC","","25000"
"48021","10615","GEODIS Logistics, LLC","","25000"
"48022","10621","Global Power Supply","","25000"
"48024","12502","Goolsby Testing Inc","","25000"
"48026","10635","Graves Mechanical, Inc","","25000"
"48027","12430","Great River Industries LLC","","12500"
"48028","10638","Greenleaf Capital, LLC","","25000"
"48029","10641","GSI Generators","","25000"
"48030","10607","Guadalupe-Blanco River","","25000"
"48031","10642","Guarantee Restoration Services, LLC","","80000"
"48033","10648","Gulf Coast Village","","25000"
"48034","10651","Gulf Stevedoring Services, LLC","","60000"
"48035","12776","Gutierrez Multi Services LLC","","12500"
"48036","12788","H.C. Olsen Construction Co., Inc.","","120000"
"48037","12324","H.E.B.","","70000"
"48038","12757","H-2 Enterprises, LLC","","250000"
"48039","11971","Halliburton Energy/Summitt","","50000"
"48040","12740","Hall's Construction Co","","12500"
"48042","11805","Harris County Department of Education Public Facility Corporation","Harris County Department of Education","25000"
"48043","10665","Harris County ESD 4","","25000"
"48044","12628","Harris County Sheriff","","50000"
"48045","12666","Harris Drilling","","30000"
"48046","10666","Harris Teeter LLC","","40000"
"48047","12133","Hart Healthcare Katy I, LLC","","25000"
"48048","12079","Hart Healthcare Katy II LLC","","12500"
"48049","12069","Hart Healthcare Sugar I LLC","","12500"
"48050","12131","Hawthorne Center For Rehabilitation & Hea","","25000"
"48051","10668","Hays County","","100000"
"48052","10669","Hays Electrical Services Inc.","","80000"
"48053","12239","Hazmat International, Inc","","60000"
"48056","10676","Heather Hill Nursing Center","","25000"
"48058","10678","Heights Tower Service, Inc.","","60000"
"48059","10682","Henson Chrysler Motor Company","","0"
"48060","10684","Herc Rentals","","60000"
"48061","12086","Higginbotham Brothers","","25000"
"48062","12461","Highland Building Group","","25000"
"48063","10693","Hightowers Petroleum","","60000"
"48064","10694","Hiland Dairy Food Company, Inc","","100000"
"48067","10714","HMG Services","","25000"
"48069","10716","Holcomb Environmental Oil Services LLC","","70000"
"48070","10176","Holt Industrial Rentals LLC","","60000"
"48074","10723","Hot Switch LLC - HED Environmental","","25000"
"48075","12140","Houcraneco dba Hou Crane Rental","","50000"
"48076","12208","Houston Motorsports, Inc.","","25000"
"48077","12273","Houston Northwest Plumbing Corp","","25000"
"48080","12006","HTX USA, LLC","","100000"
"48082","12435","Humane Society of Tampa Bay, Inc","","25000"
"48084","11935","Hunt Electric Corp","","25000"
"48085","10732","Hunton Services","","300000"
"48086","10733","Hurricane Air & Swabbing Services, LLC","","120000"
"48087","12400","Hurricane Pipe & Supply, LLC","","25000"
"48088","11937","Hutchinson Construction LLC","","60000"
"48089","11665","Huxted Trenchless LLC","","100000"
"48090","11948","HVAC Rental, LLC","","25000"
"48093","10742","Imperative Chemical Partners","","40000"
"48094","10745","Independent Hydraulic","","25000"
"48096","12693","Infinity Fuels, Inc..","","12500"
"48097","10751","Inframark, LLC","","200000"
"48098","12721","Innovex International, Inc.","","110000"
"48100","12600","Integra Mission Critical, LLC","","25000"
"48101","11668","Integrence Construction Mgmt","","50000"
"48102","11966","Integrity Delaware, LLC 1742448483","","60000"
"48105","12148","Inwood Condominium Association Inc","","35000"
"48106","10760","IUOE Local 450","","25000"
"48107","12255","J.A. Bonilla Trucking, LLC","","12500"
"48108","11940","J.T. Vaughn Construction","","90000"
"48111","11932","Jamail and Smith Const LP","","80000"
"48114","12746","James R. Vannoy & Sons Construction Co., Inc.","","25000"
"48115","12181","JC Davis Power","","70000"
"48117","11794","Jeff Martin Auctioneers","","25000"
"48119","12311","JF&D Motors","","25000"
"48125","10806","Jones Pump LLC","","25000"
"48126","12614","Josh LeFevre Construction Co., LLC","","25000"
"48128","11903","JPMorgan Chase Bank, N.A.","","120000"
"48131","12260","Junction Landscape Maintenance","","80000"
"48132","11798","Juneau Construction Company LLC","","30000"
"48133","12712","JVC Sandblasting & Painting, LLC","","50000"
"48136","10818","K. Hovnanian of Houston II, LLC","","25000"
"48138","12835","Kasselman Electric Co, Inc","","35000"
"48139","11911","Kastel Enterprises MK LLC","","40000"
"48142","12209","Keller North America, Inc","","100000"
"48143","11986","Kelly & Company","","40000"
"48145","10828","Kennedy Fabricating LLC","","70000"
"48146","10830","Kentech Inc.","","60000"
"48147","12038","Key Construction, Inc","","60000"
"48149","12030","Kingham Dalton Wilson Ltd/KDW","","25000"
"48150","10839","Kingwood Emergency Hospital","","25000"
"48151","10840","Kingwood Mulch","","25000"
"48152","12415","Kinloch Equipment & Supply, Inc","","35000"
"48153","10842","Kinney Inc.","","85000"
"48154","10843","Kinsley Power Systems","","50000"
"48156","11885","KJE Enterprises LLC","","35000"
"48157","12472","KLS Construction LLC","","60000"
"48159","10858","Kroger Co.","","100000"
"48160","12241","KRV LLC dba Concrete Contractors Supply","","60000"
"48161","12708","K's Humble Yamaha","","25000"
"48162","12459","K-Solv Chemicals, LLC","","35000"
"48163","12452","K-Solv Fuel Services, LLC","","35000"
"48164","10860","Kuehne + Nagel Inc","","50000"
"48165","10864","L3Harris Technologies, Inc","","80000"
"48166","10866","La Grange Acquisition, LP","","50000"
"48168","10870","Lally Pipe & Tube","","25000"
"48170","10872","Lane Valente Industries, Inc.","","60000"
"48171","10874","Lanier Rehabilitation Center","","25000"
"48172","11858","Lansdowne Mood Co LP","","25000"
"48173","12259","LanXess Corporation","","100000"
"48179","10880","Ledcor Technical Services","","25000"
"48182","12250","Lel International, Inc.","","120000"
"48184","10886","Letco Group","","90000"
"48186","12264","Liberty Energy, Inc","","200000"
"48189","12126","Life Cycle Power","","35000"
"48190","12779","Lighthouse Enviro","","12500"
"48191","12410","Lightning Unlimited, Inc.","","25000"
"48192","12437","Lincoln Lumber, LLC","","25000"
"48194","12826","LM&R Excavating, LLC","","12500"
"48195","12084","Loftin Equipment Co","","35000"
"48196","11853","LONESTAR TOWING & RECOVERY","","25000"
"48197","12797","Longfellow Foundations, Inc.","","40000"
"48198","10905","Loram Maintenance","","75000"
"48201","10907","Lowes Foods, LLC","","25000"
"48202","12468","Lucky 7 Landscape LLC","","12500"
"48203","10910","Lucky Lady Oil","","25000"
"48204","12473","Lutz Petroleum Inc","","60000"
"48205","10912","M.K. Painting, Inc.","","25000"
"48206","10913","Macro Oil Companies, Inc.","","25000"
"48208","10917","MaintenX International","","80000"
"48210","12536","Manhattan Construction LLC","","100000"
"48211","10919","Mansfield Oil Company","","90000"
"48212","12790","Marek Brothers Systems, LLC","","25000"
"48214","10927","Marmon Keystone LLC","","50000"
"48216","10932","Martinez Row LLC","","70000"
"48217","10935","Martin's Hardware & Lumber","","50000"
"48218","10937","Mastertech Services Inc.","","25000"
"48220","12557","Matthews Brothers Dredging LLC","","25000"
"48222","10971","Mavrik Enviromental & Exploration","","25000"
"48223","12444","Maxx HDD, LLC","","100000"
"48224","12796","MBA Energy & Industrial, LLC","","50000"
"48226","10941","McCarthy Building","","150000"
"48227","11744","McKithern Machine Works Inc","","25000"
"48228","12533","MDS Trucking LLC","","55000"
"48230","12143","MEI Rigging & Crating, LLC","","40000"
"48231","10957","Merchants Metals, LLC","","25000"
"48236","12448","Mida Sales, Inc","","25000"
"48237","12603","Midtex Oil, LP","","25000"
"48238","10973","Miller Electric Company","","25000"
"48239","10974","Miller Tubular Services LLC","","70000"
"48241","12535","MMR Constructors Inc","","30000"
"48242","12831","Monoko, LLC","","15000"
"48243","10985","Montauk Renewables Inc","","25000"
"48244","10988","Moon Valley Nursery of Texas","","160000"
"48246","10990","Morelight Glass LLC","","25000"
"48247","12854","Mortenson","","60000"
"48248","10992","Moss & Associates, LLC","","100000"
"48249","12154","Mustang Truck Parts, LLC","","25000"
"48252","11010","National Power","","80000"
"48253","11012","Native Texas Nursery","","25000"
"48254","11013","Nature Environmental & Marine ServicesLLC","","25000"
"48255","12330","Neches Management Services, LLC","","60000"
"48256","12789","Nelson Equipment Ltd.","","25000"
"48257","11780","New Caney Municipal Utility District","","25000"
"48258","12857","New River Electrical Corporation","","120000"
"48260","11999","NewRest IAH LLC","","25000"
"48263","11028","North Atlantic Int'l Ocean Carrier, Inc","","25000"
"48264","11035","Northstar Energy Services","","70000"
"48265","12632","NP Tampa Propco, LLC c/o CBRE, Inc.","","12500"
"48266","11039","NSPS Metals, LLC","","50000"
"48267","10881","NXL Technologies, LLC (Lee Specialties)","","30000"
"48268","12546","Odin Environmental Solutions","","60000"
"48269","12421","O'Donnell/Snider Construction","","25000"
"48271","11050","Oilfield Fishing & Rental LLC","","50000"
"48272","12852","Okana MDE LLC","","25000"
"48273","11051","Oldcastle Infrastructure Inc.","","80000"
"48274","11053","Omni Barton Creek Resort & Spa","","60000"
"48281","12862","Palazzo Brothers Electric, Inc","","25000"
"48283","12807","Paloma Permian AssetCo., LLC","","25000"
"48285","11789","Pangea International Trading Co","","40000"
"48288","11079","Park City Drilling Technologies, LLC","","25000"
"48290","10705","Park Manor of Cy Fair","","25000"
"48292","11080","Park Manor of Quail Valley","","25000"
"48294","11081","Park Manor of the Woodlands","","25000"
"48296","12711","Parkview Premier LLC","","25000"
"48300","11086","Patriot Pipe Services, Inc","","25000"
"48301","11830","Patriot resorts Inc","","25000"
"48303","11089","Paul Murray","","60000"
"48304","11096","Performance Contractors Inc 17208759864","","40000"
"48305","11777","Performance Equipment Rentals LLC","","50000"
"48306","11849","Performance Team LLC-Maersk Warehousing","","80000"
"48307","11097","Persons Service Company","","110000"
"48309","11098","Petrochem Field Services Inc.","","60000"
"48310","11845","Petro-Hunt Permian, LLC","","50000"
"48311","11100","Petroleum Traders Corp","","50000"
"48315","11105","Piedmont Structural Company","","180000"
"48316","12127","Pieper Houston Electric LP","","60000"
"48317","12433","Pileco, Inc","","25000"
"48318","11106","Piling, Inc.","","50000"
"48319","11107","Pine Forest Farms","","25000"
"48322","12329","Pinnacle Construction Ind","","25000"
"48323","12301","Pinnacle Constructors Group LLC","","25000"
"48325","11110","Pinnacle Petroleum, Inc. 13306497036","","25000"
"48328","11112","Piping Technology & Products","","25000"
"48331","11114","Point to Point","","100000"
"48332","11116","Polk County LF","","210000"
"48333","11117","Poly-America, L.P.","","25000"
"48334","11998","Pont-Alba Apartments","","50000"
"48337","11872","Porter MUD","","50000"
"48338","11123","Porter Special Utility District","","25000"
"48339","11124","Postel / Steelco","","40000"
"48340","11127","Power Factor","","100000"
"48341","11131","PowerSecure FUEL","","500000"
"48342","11132","PowerSecure Service, Inc.","","500000"
"48346","11137","Preferred Climate Solutions","","65000"
"48347","12464","Premier Specialty Services LLC","","35000"
"48348","11695","Premiere Inc","","50000"
"48349","11146","Primoris Energy Services","","250000"
"48350","11147","Primoris Renewable Energy Inc","","250000"
"48351","12302","Process Service Specialists, L.L.C.","","50000"
"48352","11152","Project Telcon, LLC","","25000"
"48353","12337","Proler Industries - (NO FS)","","45000"
"48354","11157","Publix Super Markets, Inc","","260000"
"48355","12102","Purcell Construction, Inc","","40000"
"48359","12739","Quality Electrical Systems, Inc.","","30000"
"48360","12112","Quality Facility Specialists","","35000"
"48361","12732","Quality Linings & Fabrication, Inc.","","25000"
"48366","12772","Rabine Compacted Concrete LLC","","12500"
"48367","11700","Ranco Response LLC","","150000"
"48370","11181","Rapid Response Team, LLC","","50000"
"48372","12115","Ravenvolt, Inc","","100000"
"48375","11862","RDO Equipment Company","","40000"
"48377","12434","Red Eagle Pipeline","","25000"
"48379","12454","Reddy Ice","","90000"
"48380","11188","Reed Greenwood Inc","","50000"
"48381","11983","Reeder Distributors, Inc","","200000"
"48382","12760","Ref Chem, LP","","25000"
"48383","12804","Regal Oil Inc.","","25000"
"48384","11191","Reliant Equipment Rental","","25000"
"48385","11192","REM Communications Inc.","","40000"
"48386","11193","Ren Center Tampa LLC","","25000"
"48388","11868","Responsive Deployment, LLC","","30000"
"48391","11209","Richmond Health Care Center","","25000"
"48393","12795","Rio Grande Pacific Industrial Rail Services","","12500"
"48395","12263","Rock and Roll Ready Mix, LLC","","25000"
"48396","12105","Rockland Foundations and Paving LLC","","25000"
"48398","11233","Roland J Robert Distributor Inc","","30000"
"48399","12501","Ronald R Wagner & Co., LP 17426048611","","150000"
"48400","11236","Ross Dress for Less","","50000"
"48401","12136","Rotating Machinery Services Inc dba Breau","","30000"
"48402","11240","Royal Oaks Nursing and Rehab Center","","25000"
"48403","11242","RSL Contractors","","50000"
"48405","11244","Russell Marine LLC","","100000"
"48406","12541","Russell Tree Experts, Ltd","","60000"
"48407","11246","Ryan Companies US, Inc.","","100000"
"48408","11248","RZ Enterprises USA, Inc.","","70000"
"48409","12129","S & E Pallets LLC","","25000"
"48410","12681","S.G Power Pros.LLC","","12500"
"48411","12545","Safety Management System LLC","","100000"
"48413","11260","Satterfield & Pontikes Constr","","60000"
"48414","11265","Schuler Services LLC","","12500"
"48415","12334","Scorusa, LLC","","12500"
"48416","12838","Scythe Construction LLC","","25000"
"48418","11941","Sendero Industries LLC","","150000"
"48422","12321","Servpro of Southern Trumbull County","","60000"
"48423","11283","Sesco Terminals Corporation","","60000"
"48424","12634","SETRAC","","25000"
"48425","12768","Shawver & Son, Inc.","","25000"
"48426","12861","Shell Pipeline Company","","120000"
"48427","11288","Shelton Services LLC","","200000"
"48429","12095","Skyblack LLC","","12500"
"48430","11304","SMS Assist, LLC","","200000"
"48432","11704","Solicon Civil Consulting, LLC","","25000"
"48434","11974","Sophia Oilfield Supply Service","","25000"
"48435","12736","Soutex Chemicals LLC","","12500"
"48436","12532","South East Mowing LLC","","80000"
"48437","11869","Southeastern Freight Lines Inc","","90000"
"48438","11315","Southern Gulf Solutions LLC","","25000"
"48439","11325","Sovereign Healthcare, LLC","","30000"
"48440","12771","Space Exploration Technologies","","25000"
"48442","11330","Specialized Maintenance Services, Inc","","100000"
"48443","11334","Speedsportz Racing Park","","25000"
"48444","12780","Splendora ISD","","50000"
"48445","11337","Sports Turf Company","","50000"
"48447","11837","Sprint Sand and Clay, LLC","","40000"
"48448","12823","St. Charles Parish","","25000"
"48449","12766","STAG Power Rentals, LLC","","60000"
"48450","11925","Standard Electric Inc","","12500"
"48452","12733","Steely Farm, LLC","","30000"
"48453","12799","Sterling Global Industries, LLC","","12500"
"48454","11354","Stewart and Stevenson","","400000"
"48455","11356","Stewart Tubular Products, LLC","","25000"
"48458","12338","STS Tank Leasing, LLC","","25000"
"48460","11804","Sulzer Chemtech USA Inc","","50000"
"48461","11366","Summit Equipment Co LLC","","25000"
"48462","12853","Summit Industrial Construction LLC","","50000"
"48463","12612","Sun Packing, Inc","","12500"
"48464","11368","Sunbelt Rentals, Inc.","","400000"
"48465","12781","Sunland Construction, Inc.","","50000"
"48466","11374","Superior Threaded Products","","40000"
"48471","11382","Tampa Armature Works, Inc.","","70000"
"48473","12761","Targa Transport LLC","","60000"
"48474","11867","Target Corporation","","250000"
"48475","11386","Tarsco Construction Corp","","150000"
"48476","12691","Taylar Energy, LLC","","25000"
"48477","11388","Taylor Machine Works, Inc.","","80000"
"48479","11394","TDR Pipe Inc","","12500"
"48481","12668","TeamBWT LLC","","110000"
"48482","11879","TEI Construction Services, Inc","","40000"
"48483","11398","Tellez Machine Inc.","","12500"
"48487","12279","Teton Oil Products, LLC","","25000"
"48488","12727","Texan Landscaping Rivera, LLC","","30000"
"48490","11408","Texas Dept of Criminal Justice","","50000"
"48491","12307","Texas Lehigh Cement Co LP","","35000"
"48492","11952","Texas Orthopedic Hospital","","60000"
"48493","11419","Texas Park & Wildlife (Tyler State Park)","","100000"
"48495","12667","Texas Turf Tenders","","30000"
"48497","12414","Tex-Star Services, Inc","","50000"
"48498","11945","TF Industrial Services LLC","","100000"
"48500","11430","The Brixton at Horseshoe Bay","","12500"
"48502","11435","The Fierro Group Ltd Co.","","60000"
"48505","11437","The Geo Group","","40000"
"48506","11440","The Haskell Company","","50000"
"48508","12791","The Lodge at Natchez Trace","","25000"
"48509","11447","The Menninger Clinic","","50000"
"48511","12094","The Reinforced Earth Co","","25000"
"48513","11452","The Terraces at Bonita Springs","","25000"
"48515","11825","The W.W. Williams Co., LLC","","60000"
"48518","11459","Thompson Construction","","25000"
"48519","11460","Thompson Tractor Company","","60000"
"48521","11464","Tiger Tech Equipment Repair","","100000"
"48522","11466","Titan Environmental USA, LLC","","25000"
"48523","11471","T-Mobile","","350000"
"48525","12856","Tomahawk Disposal, LLC","","35000"
"48528","11997","Top Dog Services","","60000"
"48530","11989","Top Star Construction","","120000"
"48531","11481","TopGolf USA, Inc.","","25000"
"48534","12443","Tower, Force LLC","","30000"
"48535","11486","Trane U.S., Inc.","","200000"
"48536","12778","Trans Utility Inc","","25000"
"48537","11488","TransCore ITS","","80000"
"48539","11489","Trans-Tex Cementing Services","","160000"
"48540","11234","Tri-County Construction","Tri-Enterprises, LLC","150000"
"48541","12688","Trinity Armory Inc.","","25000"
"48542","12701","Trinity Group Construction Inc.","","30000"
"48544","11801","Tri-Star Protectors","","25000"
"48545","11964","TTM Business LLC","","25000"
"48547","12765","Turnkey Industries, LLC","","60000"
"48552","11516","Union Tank Car - Cleveland","","50000"
"48553","12827","Union Tank Car Co Pasadena,TX","","50000"
"48554","12786","United Painting Services, Inc.","","12500"
"48555","11519","United Rentals","","900000"
"48556","11523","Uniti Fiber LLC","","24000"
"48557","12203","Uniti Group LLC","","60000"
"48558","12243","University Health","","75000"
"48559","11527","University of Houston-Dntn","","25000"
"48560","12032","UPS Fuel Services, Inc","","80000"
"48561","11534","USA Comserv","","12500"
"48562","12671","USW-Menard, Inc","","25000"
"48563","11538","Utility Supply and Construction Company","","380000"
"48565","12806","Valvtechnologies LLC","","25000"
"48566","11979","Veloz Logistics","","50000"
"48567","12246","Venture Metals, L.L.C.","","50000"
"48568","11546","Verizon Business Purchasing","","60000"
"48569","11547","Verizon Global","","380000"
"48571","12816","Vixxo Kansas, LLC","","50000"
"48572","11559","VOA Lee County Health Care Facility, Inc","","25000"
"48573","11962","VoltaGrid LLC","","80000"
"48574","11561","Vortex Lining Systems, LLC","","60000"
"48575","12118","W&W Steel Erectors LLC","","100000"
"48576","12619","W.E. Bowers & Associates, Inc.","","25000"
"48577","12542","W.M. Schultz Construction Inc.","","80000"
"48578","12737","W.T. Byler Co., Inc","","50000"
"48580","12299","Wal-Mart Stores, Inc","","700000"
"48582","11569","Waste Services of Texas LLC-Cleveland","","210000"
"48584","11573","Watterson Environmental Group, LLC","","60000"
"48585","11574","Waukesha-Pearce Industries","","25000"
